Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
BeNbO3,Be,Nb,2,4,0.45,0.68,cubic,0,3.965,3.965,3.965,90,90,90,0,-1.581,1.237,-0.121,12.464,0.656
BeNiO3,Be,Ni,2,4,0.45,0.48,cubic,0,3.594,3.594,3.594,90,90,90,0,-0.235,1.448,0.007,9.284,-3.345
BePbO3,Be,Pb,2,4,0.45,0.78,cubic,0,4.13,4.13,4.13,90,90,90,0,-0.096,1.76,-,14.091,-3.813
BePdO3,Be,Pd,2,4,0.45,0.62,cubic,0,3.856,3.856,3.856,90,90,90,0,0.094,1.54,-,11.465,-3.355
BePrO3,Be,Pr,2,4,0.45,0.85,orthorhombic,3,4.795,5.754,8.187,90,90,90,0,-2.803,0.172,0,11.293,-6.027
BeReO3,Be,Re,2,4,0.45,0.63,cubic,0,3.851,3.851,3.851,90,90,90,0,-0.851,1.361,0.006,11.423,1.989
BeRhO3,Be,Rh,2,4,0.45,0.6,cubic,0,3.832,3.832,3.832,90,90,90,0,-0.191,1.618,0.246,11.255,-1.58
BeRuO3,Be,Ru,2,4,0.45,0.62,cubic,0,3.828,3.828,3.828,90,90,90,0,-0.442,1.505,0.393,11.219,0.043
BeSbO3,Be,Sb,2,4,0.45,0.68,cubic,0,3.947,3.947,3.947,90,90,90,0,-0.721,1.456,-,12.302,-0.43
BeSiO3,Be,Si,2,4,0.45,0.4,cubic,0,3.446,3.446,3.446,90,90,90,0.352,-1.794,1.243,-,8.185,4.114
BeSnO3,Be,Sn,2,4,0.45,0.69,cubic,0,3.968,3.968,3.968,90,90,90,0,-0.796,1.562,-,12.497,-1.064
BeTaO3,Be,Ta,2,4,0.45,0.68,cubic,0,3.942,3.942,3.942,90,90,90,0,-1.819,1.121,-0.148,12.253,1.696
BeTbO3,Be,Tb,2,4,0.45,0.76,cubic,0,4.269,4.269,4.269,90,90,90,0,-0.928,2.038,0.207,15.561,-5.319
BeTeO3,Be,Te,2,4,0.45,0.97,cubic,0,4.048,4.048,4.048,90,90,90,0,-0.373,1.593,-,13.261,-0.192
BeThO3,Be,Th,2,4,0.45,0.94,cubic,0,4.501,4.501,4.501,90,90,90,0,-1.654,2.074,-0.086,18.234,-3.297
BeTiO3,Be,Ti,2,4,0.45,0.61,cubic,0,3.794,3.794,3.794,90,90,90,0,-1.778,1.354,0,10.925,0.033
BeUO3,Be,U,2,4,0.45,0.89,cubic,0,4.289,4.289,4.289,90,90,90,0,-1.951,1.527,0.026,15.782,4.378
BeVO3,Be,V,2,4,0.45,0.58,cubic,0,3.706,3.706,3.706,90,90,90,0,-1.342,1.347,0,10.176,0.146
BeWO3,Be,W,2,4,0.45,0.66,cubic,0,3.882,3.882,3.882,90,90,90,0,-1.28,1.213,-0.017,11.697,3.601
BeZrO3,Be,Zr,2,4,0.45,0.72,cubic,0,4.086,4.086,4.086,90,90,90,0,-1.735,1.631,0,13.64,-1.469
BiAgO3,Bi,Ag,3,3,1.38,0.75,orthorhombic,3,5.78,6.05,7.719,90,90,90,0.357,-0.816,0.065,-,13.495,-0.274
BiAlO3,Bi,Al,3,3,1.38,0.54,orthorhombic,3,5.335,5.391,7.569,90,90,90,2.652,-2.319,0.069,-,10.885,4.691
BiAsO3,Bi,As,3,3,1.38,0.58,orthorhombic,3,5.546,6.004,8.081,90,90,90,0.33,-1.232,0.228,-,13.453,1.801
BiCeO3,Bi,Ce,2,4,1.38,0.87,cubic,0,4.562,4.562,4.562,90,90,90,0,-1.53,0.967,0.042,18.987,-4.278
BiCoO3,Bi,Co,3,3,1.38,0.61,orthorhombic,3,5.349,5.666,7.671,90,90,90,0.441,-1.249,0.136,0,11.625,2.897
BiCrO3,Bi,Cr,3,3,1.38,0.62,orthorhombic,3,5.43,5.647,7.781,90,90,90,1.56,-1.962,0.016,0.6,11.928,3.843
BiCuO3,Bi,Cu,3,3,1.38,0.54,orthorhombic,3,5.369,5.948,7.408,90,90,90,0,-1.063,0.03,-,11.827,0.652
BiDyO3,Bi,Dy,3,3,1.38,0.91,cubic,0,4.307,4.307,4.307,90,90,90,0,-2.004,0.658,0,15.976,-1.152
BiErO3,Bi,Er,3,3,1.38,0.89,cubic,0,4.266,4.266,4.266,90,90,90,0,-2.085,0.6,0,15.533,-0.31
BiEuO3,Bi,Eu,3,3,1.38,0.95,orthorhombic,3,5.923,6.115,8.628,90,90,90,0,-2.122,0.133,0,15.624,-4.267
BiFeO3,Bi,Fe,3,3,1.38,0.65,orthorhombic,3,5.447,5.675,7.808,90,90,90,1.283,-1.552,0.017,1,12.067,2.587
BiGaO3,Bi,Ga,3,3,1.38,0.62,tetragonal,1,3.687,3.687,4.642,90,90,90,2.053,-1.759,0.04,-,12.617,4.012
BiGeO3,Bi,Ge,2,4,1.38,0.53,tetragonal,1,3.832,3.832,4.607,90,90,90,0,-1.397,0.281,-,13.527,3.272
BiHfO3,Bi,Hf,2,4,1.38,0.71,orthorhombic,3,5.725,5.77,8.328,90,90,90,0,-2.527,0.268,0.003,13.754,4.027
BiHoO3,Bi,Ho,3,3,1.38,0.9,cubic,0,4.287,4.287,4.287,90,90,90,0,-2.046,0.628,0,15.754,-0.821
BiInO3,Bi,In,3,3,1.38,0.8,orthorhombic,3,5.644,6.039,8.144,90,90,90,2.645,-1.621,0.038,-,13.878,0.639
BiIrO3,Bi,Ir,2,4,1.38,0.63,cubic,0,3.995,3.995,3.995,90,90,90,0,-0.685,0.557,0,12.755,0.257
BiLuO3,Bi,Lu,3,3,1.38,0.86,orthorhombic,3,5.682,6.059,8.243,90,90,90,2.947,-2.686,0.032,0,14.19,0.295
BiMnO3,Bi,Mn,3,3,1.38,0.65,orthorhombic,3,5.432,5.786,7.714,90,90,90,0,-1.727,0.023,0.8,12.121,2.544
BiMoO3,Bi,Mo,3,3,1.38,0.69,orthorhombic,3,5.56,5.911,7.944,90,90,90,0,-1.471,0.342,0.6,13.054,3.605
BiNbO3,Bi,Nb,1,5,1.38,0.64,orthorhombic,3,5.64,5.71,8.246,90,90,90,0,-1.874,0.381,0.001,13.278,4.001
BiNiO3,Bi,Ni,3,3,1.38,0.6,orthorhombic,3,5.33,5.671,7.666,90,90,90,0,-1.233,0.035,0.394,11.585,0.59
BiPbO3,Bi,Pb,2,4,1.38,0.78,orthorhombic,3,5.809,6.235,8.321,90,90,90,0,-1.221,0.137,-,15.069,1.186
BiPdO3,Bi,Pd,2,4,1.38,0.62,orthorhombic,3,5.512,5.954,7.781,90,90,90,0,-1.006,0.025,-,12.769,0.454
BiPrO3,Bi,Pr,2,4,1.38,0.85,cubic,0,4.526,4.526,4.526,90,90,90,0,-1.606,0.919,0.02,18.538,-3.821
BiReO3,Bi,Re,1,5,1.38,0.58,cubic,0,3.996,3.996,3.996,90,90,90,0,-1.04,0.506,0.02,12.764,1.965
BiRhO3,Bi,Rh,3,3,1.38,0.67,orthorhombic,3,5.403,5.865,7.783,90,90,90,0.513,-1.182,0.056,0,12.332,0.707
BiRuO3,Bi,Ru,2,4,1.38,0.62,orthorhombic,3,5.398,5.847,7.825,90,90,90,0,-1.176,0.138,0.192,12.35,1.594
BiSbO3,Bi,Sb,3,3,1.38,0.76,orthorhombic,3,5.783,6.291,8.413,90,90,90,0,-1.365,0.171,-,15.301,1.105
BiScO3,Bi,Sc,3,3,1.38,0.75,orthorhombic,3,5.56,5.855,8.033,90,90,90,3.008,-2.608,0.033,0,13.075,1.957
BiSiO3,Bi,Si,2,4,1.38,0.4,cubic,0,3.772,3.772,3.772,90,90,90,0,-1.645,0.727,-,10.736,2.725
BiSnO3,Bi,Sn,2,4,1.38,0.69,orthorhombic,3,5.71,6.189,8.283,90,90,90,0,-1.465,0.22,-,14.635,3.114
BiTaO3,Bi,Ta,1,5,1.38,0.64,orthorhombic,3,5.638,5.732,8.179,90,90,90,0,-1.978,0.491,0,13.215,3.658
BiTbO3,Bi,Tb,2,4,1.38,0.76,cubic,0,4.341,4.341,4.341,90,90,90,0,-1.83,0.688,0,16.361,-1.455
BiTeO3,Bi,Te,2,4,1.38,0.97,cubic,0,4.249,4.249,4.249,90,90,90,0,-0.78,0.588,-,15.346,-0.073
BiThO3,Bi,Th,2,4,1.38,0.94,cubic,0,4.571,4.571,4.571,90,90,90,0,-2.299,0.735,0,19.106,1.158
BiTiO3,Bi,Ti,2,4,1.38,0.61,rhombohedral,2,5.38,5.38,5.38,64.3,64.3,64.3,0,-2.243,0.21,0.005,12.05,4.05
BiTlO3,Bi,Tl,3,3,1.38,0.89,orthorhombic,3,5.777,6.247,8.241,90,90,90,1.059,-1.154,0.052,-,14.87,-1.519
BiTmO3,Bi,Tm,3,3,1.38,0.88,cubic,0,4.239,4.239,4.239,90,90,90,0.282,-2.135,0.568,0,15.235,-0.198
BiUO3,Bi,U,2,4,1.38,0.89,cubic,0,4.878,4.878,4.878,90,90,90,0,-1.717,1.066,0.245,23.213,-2.322
BiVO3,Bi,V,3,3,1.38,0.64,orthorhombic,3,5.448,5.75,7.828,90,90,90,0.891,-2.045,0.007,0.4,12.262,3.34
BiWO3,Bi,W,2,4,1.38,0.66,cubic,0,4.019,4.019,4.019,90,90,90,0,-1.414,0.543,0,12.987,3.201
BiYO3,Bi,Y,3,3,1.38,0.9,cubic,0,4.317,4.317,4.317,90,90,90,0,-1.982,0.659,0,16.089,-0.964
BiYbO3,Bi,Yb,3,3,1.38,0.87,cubic,0,4.157,4.157,4.157,90,90,90,0,-1.421,0.799,-,14.371,-2.28
BiZrO3,Bi,Zr,2,4,1.38,0.72,orthorhombic,3,5.774,5.784,8.422,90,90,90,0,-2.388,0.284,0,14.066,3.628
CaCeO3,Ca,Ce,2,4,1.34,0.87,cubic,0,4.505,4.505,4.505,90,90,90,0,-2.351,0.7,0.2,18.285,-1.45
CaCoO3,Ca,Co,2,4,1.34,0.53,rhombohedral,2,5.197,5.197,5.197,61.5,61.5,61.5,0,-1.885,0.037,0.576,10.255,0.72
CaCrO3,Ca,Cr,2,4,1.34,0.55,orthorhombic,3,5.302,5.54,7.536,90,90,90,0.541,-2.611,0.054,0.4,11.068,1.456
CaFeO3,Ca,Fe,2,4,1.34,0.59,rhombohedral,2,5.287,5.287,5.287,60.9,60.9,60.9,0,-2.195,0.002,0.8,10.664,1.132
CaGeO3,Ca,Ge,2,4,1.34,0.53,cubic,0,3.757,3.757,3.757,90,90,90,0.962,-2.428,0.071,-,10.606,-
CaHfO3,Ca,Hf,2,4,1.34,0.71,orthorhombic,3,5.541,5.724,7.948,90,90,90,4.716,-3.669,-0.087,0,12.605,6.417
CaIrO3,Ca,Ir,2,4,1.34,0.63,orthorhombic,3,5.312,5.64,7.662,90,90,90,0,-1.919,0.023,0.027,11.479,0.979
CaMnO3,Ca,Mn,2,4,1.34,0.53,tetragonal,1,3.794,3.794,3.943,90,90,90,0,-2.349,0.094,0.605,11.353,1.209
CaMoO3,Ca,Mo,2,4,1.34,0.65,orthorhombic,3,5.41,5.62,7.764,90,90,90,0,-2.59,0.064,0.028,11.802,4.546
CaNbO3,Ca,Nb,2,4,1.34,0.68,orthorhombic,3,5.516,5.674,7.907,90,90,90,0,-3.005,0.025,0.003,12.374,-
CaNiO3,Ca,Ni,2,4,1.34,0.48,rhombohedral,2,5.2,5.2,5.2,62.3,62.3,62.3,0,-1.67,0.131,0,10.45,-0.189
CaPbO3,Ca,Pb,2,4,1.34,0.78,orthorhombic,3,5.675,5.926,8.142,90,90,90,1.258,-2.017,0.038,-,13.69,1.239
CaPdO3,Ca,Pd,2,4,1.34,0.62,orthorhombic,3,5.347,5.653,7.677,90,90,90,0.423,-1.714,-0.099,-,11.604,-0.257
CaPrO3,Ca,Pr,2,4,1.34,0.85,cubic,0,4.46,4.46,4.46,90,90,90,0,-2.407,0.672,0.2,17.748,-1.401
CaReO3,Ca,Re,2,4,1.34,0.63,orthorhombic,3,5.343,5.628,7.706,90,90,90,0,-2.248,0.11,0.129,11.586,2.781
CaRhO3,Ca,Rh,2,4,1.34,0.6,orthorhombic,3,5.347,5.633,7.697,90,90,90,0,-1.934,0.008,0.2,11.592,1.092
CaRuO3,Ca,Ru,2,4,1.34,0.62,orthorhombic,3,5.371,5.61,7.708,90,90,90,0,-2.073,-0.017,0.397,11.614,2.353
CaSiO3,Ca,Si,2,4,1.34,0.4,rhombohedral,2,5.054,5.054,5.054,60.1,60.1,60.1,4.339,-3.058,0.234,-,9.159,6.171
CaSnO3,Ca,Sn,2,4,1.34,0.69,orthorhombic,3,5.529,5.706,7.927,90,90,90,2.74,-2.531,0.015,-,12.503,3.479
CaTaO3,Ca,Ta,2,4,1.34,0.68,orthorhombic,3,5.489,5.651,7.881,90,90,90,0,-3.097,0.078,0,12.223,5.448
CaTbO3,Ca,Tb,2,4,1.34,0.76,cubic,0,4.307,4.307,4.307,90,90,90,0,-2.541,0.53,0.2,15.977,-1.243
CaTeO3,Ca,Te,2,4,1.34,0.97,orthorhombic,3,5.659,5.946,8.167,90,90,90,0,-2.037,0.193,-,13.74,2.703
CaThO3,Ca,Th,2,4,1.34,0.94,cubic,0,4.558,4.558,4.558,90,90,90,1.603,-3.203,0.617,0,18.935,5.025
CaTiO3,Ca,Ti,2,4,1.34,0.61,orthorhombic,3,5.355,5.478,7.635,90,90,90,2.356,-3.367,-0.046,0,11.199,5.068
CaUO3,Ca,U,2,4,1.34,0.89,cubic,0,4.401,4.401,4.401,90,90,90,0,-2.95,0.62,0.36,17.05,-
CaVO3,Ca,V,2,4,1.34,0.58,orthorhombic,3,5.28,5.432,7.594,90,90,90,0.435,-2.901,-0.014,0.2,10.892,3.563
CaWO3,Ca,W,2,4,1.34,0.66,orthorhombic,3,5.408,5.642,7.784,90,90,90,0,-2.568,0.195,0.003,11.873,4.338
CaZrO3,Ca,Zr,2,4,1.34,0.72,orthorhombic,3,5.582,5.787,8.025,90,90,90,4.083,-3.517,-0.059,0,12.962,6.012
CdCeO3,Cd,Ce,2,4,1.31,0.87,cubic,0,4.51,4.51,4.51,90,90,90,0,-1.4,0.855,0.215,18.344,-3.427
CdCoO3,Cd,Co,2,4,1.31,0.53,rhombohedral,2,5.167,5.167,5.167,61.6,61.6,61.6,0,-0.98,0.141,0.195,10.111,-0.458
CdCrO3,Cd,Cr,2,4,1.31,0.55,orthorhombic,3,5.255,5.359,7.514,90,90,90,0.336,-1.684,0.138,0.4,10.58,0.721
CdFeO3,Cd,Fe,2,4,1.31,0.59,orthorhombic,3,5.272,5.348,7.518,90,90,90,0,-1.283,0.077,0.799,10.599,0.208
CdGeO3,Cd,Ge,2,4,1.31,0.53,orthorhombic,3,5.259,5.32,7.501,90,90,90,1.201,-1.588,0.114,-,10.494,3.067
CdHfO3,Cd,Hf,2,4,1.31,0.71,rhombohedral,2,5.665,5.665,5.665,58.9,58.9,58.9,2.653,-2.773,0.025,0,12.535,2.526
CdIrO3,Cd,Ir,2,4,1.31,0.63,orthorhombic,3,5.417,5.443,7.747,90,90,90,0,-1.004,0.129,0.169,11.421,1.027
CdMnO3,Cd,Mn,2,4,1.31,0.53,orthorhombic,3,5.259,5.338,7.478,90,90,90,0.229,-1.514,0.1,0.6,10.496,0.247
CdMoO3,Cd,Mo,2,4,1.31,0.65,rhombohedral,2,5.382,5.382,5.382,62.6,62.6,62.6,0,-1.667,0.156,0.033,11.652,4.417
CdNbO3,Cd,Nb,2,4,1.31,0.68,orthorhombic,3,5.562,5.586,7.895,90,90,90,0,-2.098,0.154,0.001,12.266,4.948
CdNiO3,Cd,Ni,2,4,1.31,0.48,orthorhombic,3,5.206,5.372,7.369,90,90,90,0,-0.799,0.192,0,10.305,-1.229
CdPbO3,Cd,Pb,2,4,1.31,0.78,orthorhombic,3,5.657,5.832,8.19,90,90,90,0,-1.177,0.041,-,13.511,-0.666
CdPdO3,Cd,Pd,2,4,1.31,0.62,orthorhombic,3,5.374,5.561,7.669,90,90,90,0,-0.827,0.064,-,11.46,-1.162
CdPrO3,Cd,Pr,2,4,1.31,0.85,cubic,0,4.474,4.474,4.474,90,90,90,0,-1.452,0.831,0.211,17.914,-3.287
CdReO3,Cd,Re,2,4,1.31,0.63,rhombohedral,2,5.281,5.281,5.281,64.3,64.3,64.3,0,-1.343,0.178,0.008,11.399,3.403
CdRhO3,Cd,Rh,2,4,1.31,0.6,orthorhombic,3,5.385,5.451,7.683,90,90,90,0,-1.021,0.096,0.2,11.276,0.771
CdRuO3,Cd,Ru,2,4,1.31,0.62,orthorhombic,3,5.403,5.455,7.676,90,90,90,0,-1.152,0.102,0.4,11.31,2.096
CdSbO3,Cd,Sb,2,4,1.31,0.68,orthorhombic,3,5.6,5.767,8.095,90,90,90,0,-1.425,0.11,-,13.073,2.024
CdSiO3,Cd,Si,2,4,1.31,0.4,tetragonal,1,3.371,3.371,4.544,90,90,90,0,-2.094,0.286,-,10.33,4.29
CdSnO3,Cd,Sn,2,4,1.31,0.69,orthorhombic,3,5.504,5.636,7.954,90,90,90,1.055,-1.674,0.03,-,12.337,2.754
CdTaO3,Cd,Ta,2,4,1.31,0.68,rhombohedral,2,5.507,5.507,5.507,61.9,61.9,61.9,0,-2.25,0.231,0,12.3,5.648
CdTbO3,Cd,Tb,2,4,1.31,0.76,cubic,0,4.307,4.307,4.307,90,90,90,0,-1.569,0.706,0.204,15.98,-2.591
CdTeO3,Cd,Te,2,4,1.31,0.97,orthorhombic,3,5.675,5.844,8.208,90,90,90,0,-1.18,0.18,-,13.61,0.735
CdThO3,Cd,Th,2,4,1.31,0.94,cubic,0,4.537,4.537,4.537,90,90,90,0,-2.29,0.747,-0.044,18.683,-1.197
CdTiO3,Cd,Ti,2,4,1.31,0.61,orthorhombic,3,5.299,5.449,7.61,90,90,90,2.225,-2.435,0.046,0,10.987,3.466
CdUO3,Cd,U,2,4,1.31,0.89,orthorhombic,3,5.794,5.967,8.561,90,90,90,1.056,-2.67,0.116,0.4,14.798,4.083
CdVO3,Cd,V,2,4,1.31,0.58,orthorhombic,3,5.282,5.34,7.661,90,90,90,0.659,-1.982,0.051,0.2,10.805,2.427
CdWO3,Cd,W,2,4,1.31,0.66,cubic,0,3.95,3.95,3.95,90,90,90,0,-1.682,0.275,0.001,12.325,5.005
CdZrO3,Cd,Zr,2,4,1.31,0.72,orthorhombic,3,5.534,5.726,8.05,90,90,90,2.77,-2.635,0.039,0,12.756,1.752
CeAgO3,Ce,Ag,3,3,1.34,0.75,orthorhombic,3,5.635,6.027,8.062,90,90,90,0,-1.877,-0.004,0,13.692,0.331
CeAlO3,Ce,Al,3,3,1.34,0.54,rhombohedral,2,5.36,5.36,5.36,60.1,60.1,60.1,3.795,-3.479,-0.086,0,10.924,6.49
CeAsO3,Ce,As,3,3,1.34,0.58,orthorhombic,3,5.632,5.99,8.113,90,90,90,0,-2.328,0.239,0,13.684,2.958
CeBO3,Ce,B,4,2,1.14,0.27,cubic,0,3.594,3.594,3.594,90,90,90,1.934,-2.358,0.916,-0.001,9.283,4.741
CeBaO3,Ce,Ba,4,2,1.14,1.35,orthorhombic,3,6.203,6.229,10.355,90,90,90,0,-2.675,0.258,0.199,20.007,-4.398
CeBeO3,Ce,Be,4,2,1.14,0.45,cubic,0,3.674,3.674,3.674,90,90,90,0,-2.673,0.274,0.2,9.919,-0.294
CeBiO3,Ce,Bi,3,3,1.34,1.03,cubic,0,4.408,4.408,4.408,90,90,90,0,-1.797,0.701,0,17.131,1.677
CeCaO3,Ce,Ca,4,2,1.14,1,cubic,0,4.173,4.173,4.173,90,90,90,0,-2.39,0.661,0.2,14.536,-1.451
CeCdO3,Ce,Cd,4,2,1.14,0.95,orthorhombic,3,5.714,6.129,8.207,90,90,90,0,-2.15,0.105,0,14.37,-0.129
Ce2O3,Ce,Ce,3,3,1.34,1.01,cubic,0,4.56,4.56,4.56,90,90,90,0.816,-2.604,0.916,0,18.959,2.825
CeCoO3,Ce,Co,3,3,1.34,0.61,orthorhombic,3,5.398,5.475,7.725,90,90,90,0,-2.423,-0.036,0.4,11.414,3.21
CeCrO3,Ce,Cr,3,3,1.34,0.62,orthorhombic,3,5.511,5.597,7.825,90,90,90,2.196,-3.082,-0.081,0.6,12.068,4.832
CeCuO3,Ce,Cu,3,3,1.34,0.54,orthorhombic,3,5.407,5.476,7.708,90,90,90,0,-2.156,-0.074,0,11.411,1.437
CeDyO3,Ce,Dy,3,3,1.34,0.91,orthorhombic,3,5.856,6.095,8.488,90,90,90,5.054,-3.65,0.035,0,15.149,4.606
CeErO3,Ce,Er,3,3,1.34,0.89,orthorhombic,3,5.815,6.057,8.411,90,90,90,4.972,-3.686,0.023,0,14.812,4.842
CeEuO3,Ce,Eu,3,3,1.34,0.95,cubic,0,4.296,4.296,4.296,90,90,90,0,-2.401,0.718,0.158,15.852,-1.015
CeFeO3,Ce,Fe,3,3,1.34,0.65,orthorhombic,3,5.518,5.642,7.847,90,90,90,1.144,-2.669,-0.084,1,12.214,4.094
CeGaO3,Ce,Ga,3,3,1.34,0.62,orthorhombic,3,5.507,5.545,7.802,90,90,90,3.706,-2.853,-0.043,0,11.912,5.033
CeGdO3,Ce,Gd,3,3,1.34,0.94,cubic,0,4.35,4.35,4.35,90,90,90,1.632,-3.055,0.601,0,16.458,4.348
CeGeO3,Ce,Ge,3,3,1.34,0.63,orthorhombic,3,5.575,5.848,8.015,90,90,90,0,-2.479,0.215,0,13.068,3.297
CeHfO3,Ce,Hf,2,4,1.34,0.71,orthorhombic,3,5.613,5.613,8.55,90,90,90,0,-3.398,0.09,0,13.468,5.222
CeHgO3,Ce,Hg,4,2,1.14,1.02,orthorhombic,3,5.723,6.5,8.102,90,90,90,0,-1.863,0.079,0,15.068,-0.095
CeHoO3,Ce,Ho,3,3,1.34,0.9,orthorhombic,3,5.836,6.076,8.456,90,90,90,4.92,-3.669,0.028,0,14.992,4.722
CeInO3,Ce,In,3,3,1.34,0.8,orthorhombic,3,5.713,5.985,8.249,90,90,90,2.961,-2.686,-0.004,0,14.1,3.53
CeIrO3,Ce,Ir,3,3,1.34,0.68,orthorhombic,3,5.443,5.938,7.906,90,90,90,0.99,-2.152,0.087,0,12.777,0.432
CeLaO3,Ce,La,3,3,1.34,1.03,cubic,0,4.544,4.544,4.544,90,90,90,0.482,-2.726,0.89,0,18.764,2.756
CeLuO3,Ce,Lu,3,3,1.34,0.86,orthorhombic,3,5.767,5.994,8.318,90,90,90,5.074,-3.736,0.005,0,14.375,5.161
CeMgO3,Ce,Mg,4,2,1.14,0.72,orthorhombic,3,5.453,5.793,7.84,90,90,90,0,-2.825,0.122,0.2,12.385,-0.376
CeMnO3,Ce,Mn,3,3,1.34,0.65,orthorhombic,3,5.503,5.683,7.816,90,90,90,0,-2.848,-0.079,0.8,12.222,3.949
CeMoO3,Ce,Mo,3,3,1.34,0.69,orthorhombic,3,5.559,5.941,8.009,90,90,90,0,-2.575,0.186,0.518,13.226,3.19
CeNbO3,Ce,Nb,3,3,1.34,0.72,orthorhombic,3,5.583,6.037,7.968,90,90,90,0,-2.893,0.194,0.003,13.428,4.295
CeNdO3,Ce,Nd,3,3,1.34,0.98,cubic,0,4.479,4.479,4.479,90,90,90,1.055,-2.776,0.795,0,17.971,3.435
CeNiO3,Ce,Ni,3,3,1.34,0.6,orthorhombic,3,5.387,5.473,7.673,90,90,90,0,-2.294,-0.037,0.2,11.311,1.523
CePbO3,Ce,Pb,2,4,1.34,0.78,cubic,0,4.179,4.179,4.179,90,90,90,0,-1.654,0.723,0,14.592,-
CePdO3,Ce,Pd,4,2,1.14,0.86,orthorhombic,3,5.589,5.948,7.859,90,90,90,0,-2.107,-0.08,0.001,13.064,0.911
CePrO3,Ce,Pr,3,3,1.34,0.99,cubic,0,4.517,4.517,4.517,90,90,90,0.879,-2.697,0.852,0,18.434,3.116
CeReO3,Ce,Re,3,3,1.34,0.63,orthorhombic,3,5.382,6.051,7.854,90,90,90,0,-2.238,0.291,0.284,12.787,1.899
CeRhO3,Ce,Rh,3,3,1.34,0.67,orthorhombic,3,5.469,5.852,7.893,90,90,90,0.671,-2.288,-0.061,0,12.631,1.093
CeRuO3,Ce,Ru,3,3,1.34,0.68,orthorhombic,3,5.43,5.9,7.867,90,90,90,0,-2.294,0.037,0.198,12.6,1.968
CeSbO3,Ce,Sb,3,3,1.34,0.76,cubic,0,4.261,4.261,4.261,90,90,90,0,-1.978,0.572,0,15.47,2.066
CeScO3,Ce,Sc,3,3,1.34,0.75,orthorhombic,3,5.638,5.828,8.066,90,90,90,4.42,-3.701,-0.038,0,13.251,5.523
CeSiO3,Ce,Si,4,2,1.14,0.4,tetragonal,1,3.61,3.61,4.523,90,90,90,0,-2.728,0.416,0.001,11.786,4.632
CeSmO3,Ce,Sm,3,3,1.34,0.96,cubic,0,4.415,4.415,4.415,90,90,90,1.261,-2.913,0.697,0,17.21,3.924
CeSnO3,Ce,Sn,2,4,1.34,0.69,orthorhombic,3,5.801,6.125,8.447,90,90,90,0,-2.509,0.145,0,15.004,2.823
CeSrO3,Ce,Sr,4,2,1.14,1.18,cubic,0,4.404,4.404,4.404,90,90,90,0,-1.99,1.007,0,17.087,-2.116
CeTaO3,Ce,Ta,3,3,1.34,0.72,orthorhombic,3,5.56,6.017,7.932,90,90,90,0,-2.892,0.297,0,13.268,4.367
CeTbO3,Ce,Tb,3,3,1.34,0.92,cubic,0,4.324,4.324,4.324,90,90,90,1.754,-2.978,0.562,0,16.167,4.476
CeTeO3,Ce,Te,2,4,1.34,0.97,cubic,0,4.278,4.278,4.278,90,90,90,0,-1.664,0.756,0,15.656,1.663
CeThO3,Ce,Th,2,4,1.34,0.94,cubic,0,4.566,4.566,4.566,90,90,90,0,-2.997,0.719,0.036,19.04,3.673
CeTiO3,Ce,Ti,3,3,1.34,0.67,orthorhombic,3,5.534,5.66,7.884,90,90,90,0,-3.363,-0.042,0.11,12.347,5.397
CeTlO3,Ce,Tl,3,3,1.34,0.89,orthorhombic,3,5.81,6.185,8.453,90,90,90,1.079,-2.197,0.032,0,15.189,1.325
CeTmO3,Ce,Tm,3,3,1.34,0.88,orthorhombic,3,5.798,6.03,8.381,90,90,90,5.086,-3.711,0.015,0,14.65,4.953
CeUO3,Ce,U,2,4,1.34,0.89,cubic,0,4.413,4.413,4.413,90,90,90,0,-2.784,0.695,0.542,17.184,3.104
CeVO3,Ce,V,3,3,1.34,0.64,orthorhombic,3,5.528,5.711,7.868,90,90,90,1.109,-3.159,-0.084,0.4,12.42,4.542
CeWO3,Ce,W,3,3,1.34,0.66,orthorhombic,3,5.405,6.059,7.889,90,90,90,0,-2.449,0.366,0,12.918,2.795
CeYO3,Ce,Y,3,3,1.34,0.9,cubic,0,4.3,4.3,4.3,90,90,90,1.935,-3.136,0.528,0,15.905,4.567
CeYbO3,Ce,Yb,3,3,1.34,0.87,cubic,0,4.155,4.155,4.155,90,90,90,0,-2.612,0.552,-0.001,14.347,-0.877
CeZnO3,Ce,Zn,4,2,1.14,0.74,orthorhombic,3,5.484,5.7,7.824,90,90,90,0,-2.342,0.078,0,12.229,0.529
CeZrO3,Ce,Zr,2,4,1.34,0.72,orthorhombic,3,5.746,6.041,8.174,90,90,90,0,-3.305,0.147,0.018,14.185,4.869
CoAgO3,Co,Ag,3,3,0.61,0.75,cubic,0,3.973,3.973,3.973,90,90,90,0,0.365,1.105,0.679,12.541,-2.293
CoAlO3,Co,Al,3,3,0.61,0.54,cubic,0,3.633,3.633,3.633,90,90,90,0,-1.661,0.598,0.785,9.587,-0.55
