Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
BTiO3,B,Ti,2,4,0.27,0.61,cubic,0,3.844,3.844,3.844,90,90,90,0,-0.984,1.888,-0.005,11.362,-1.49
BUO3,B,U,1,5,0.27,0.76,cubic,0,4.289,4.289,4.289,90,90,90,1.741,-1.577,1.601,0.2,15.778,4.164
BVO3,B,V,1,5,0.27,0.54,cubic,0,3.716,3.716,3.716,90,90,90,0,-0.76,1.928,-0.001,10.263,0.246
BWO3,B,W,1,5,0.27,0.62,cubic,0,3.88,3.88,3.88,90,90,90,0,-0.908,1.384,0,11.683,4.583
BZrO3,B,Zr,2,4,0.27,0.72,cubic,0,4.141,4.141,4.141,90,90,90,0,-1.084,1.999,0.001,14.199,-1.32
BaCeO3,Ba,Ce,2,4,1.61,0.87,orthorhombic,3,6.355,6.496,9.066,90,90,90,0,-2.784,0.15,0.2,18.712,-0.006
BaCoO3,Ba,Co,2,4,1.61,0.53,orthorhombic,3,5.642,5.646,8.012,90,90,90,0,-1.842,0.111,0.673,12.761,0.663
BaCrO3,Ba,Cr,2,4,1.61,0.55,orthorhombic,3,5.607,5.607,7.882,90,90,90,0.258,-2.461,0.123,0.4,12.39,1.778
BaFeO3,Ba,Fe,2,4,1.61,0.59,cubic,0,3.973,3.973,3.973,90,90,90,0,-2.095,0,0.826,12.547,1.185
BaGeO3,Ba,Ge,2,4,1.61,0.53,rhombohedral,2,5.585,5.585,5.585,60,60,60,0,-2.299,0.226,-,12.316,3.341
BaHfO3,Ba,Hf,2,4,1.61,0.71,cubic,0,4.174,4.174,4.174,90,90,90,3.687,-3.625,-0.247,0,14.549,6.962
BaIrO3,Ba,Ir,2,4,1.61,0.63,orthorhombic,3,5.703,5.773,8.106,90,90,90,0,-1.727,0.121,0.053,13.345,2.572
BaMnO3,Ba,Mn,2,4,1.61,0.53,orthorhombic,3,5.626,5.638,7.972,90,90,90,0,-2.269,0.111,0.598,12.644,1.152
BaMoO3,Ba,Mo,2,4,1.61,0.65,cubic,0,4.056,4.056,4.056,90,90,90,0,-2.585,0.004,0,13.348,5.505
BaNbO3,Ba,Nb,2,4,1.61,0.68,cubic,0,4.125,4.125,4.125,90,90,90,0,-3.016,-0.035,0,14.034,6.121
BaNiO3,Ba,Ni,2,4,1.61,0.48,orthorhombic,3,5.625,5.659,7.979,90,90,90,0,-1.591,0.177,-0.001,12.698,0.252
